id_objects;name_type_object;name_objects;address;location;created_by;osm_id
195;Кафе;Халяль Баймак;;0101000020E6100000A3C04C254DFC4B40656D533C2E5E4B40;1;11071578252
196;Кафе;Колибри;;0101000020E61000002153E34AE2FC4B4004C18822495E4B40;1;11071578253
197;Кафе;Мама варит кофе;;0101000020E6100000F58BC866FDFE4B40285A03A5B25E4B40;1;11071578260
198;Кафе;Печенье развлеченье;;0101000020E61000008A8ADDE3F1FE4B40B257699C975F4B40;1;11083658942
199;Кафе;Дежавю;;0101000020E61000006045A1C096FA4B406F096586325F4B40;1;11295811045
200;Кафе;Kumpan Terra;;0101000020E6100000A0DCB6EF51FC4B406DD5647C4E5E4B40;1;11607318218
201;Кафе;Мама варит кофе;;0101000020E610000034A0DE8C9AFE4B407D40A03369604B40;1;11738360807
202;Кафе;Pizzelle;;0101000020E6100000AB949EE925FE4B401047B2A261604B40;1;11738652031
203;Кафе;Эдем;;0101000020E61000002A7C6C81F3FE4B408C61F316B4604B40;1;11738691978
204;Кафе;Бранч;;0101000020E61000005F48E240A3FF4B4008B4CFBE4D5F4B40;1;11747627069
205;Кафе;Тако;;0101000020E6100000976F229FFCFD4B40611C5C3AE65F4B40;1;11928907288
206;Кафе;Keiko;;0101000020E610000083EB9B4539FB4B40C6E6994D365E4B40;1;11948336204
207;Кафе;Coffee-in;;0101000020E6100000D2F82A9E1FFB4B405587DC0C375E4B40;1;11948336208
208;Кафе;Bon Eclair;;0101000020E610000059FD118601FE4B40591F6A36EA5F4B40;1;11951446770
209;Кафе;Восточная кухня;;0101000020E6100000F7EC1406C0FB4B40BF4B0405395E4B40;1;11969960730
210;Кафе;Kumpan;;0101000020E6100000E2DDDB3EF5F94B40A45EA6DC335E4B40;1;11969960744
211;Кафе;Ризк;;0101000020E61000001E30B4DF7FFD4B4013431779FE5F4B40;1;11984535353
212;Кафе;Плюшка;;0101000020E610000057FA1A930FFF4B40F3774A62A4604B40;1;12002045111
213;Кафе;Сливкин нос;;0101000020E610000094282092C6F94B4073EE1B04C25E4B40;1;12162487136
214;Кафе;Мама варит кофе;;0101000020E61000008EA8F523EAFA4B40F73361A0105E4B40;1;12163109291
215;Кафе;Странные дела;;0101000020E6100000BBACD392D8FA4B4070D86C9B985F4B40;1;12209381559
216;Кафе;Акбузат;;0101000020E6100000DE1E84807CFE4B40C3B23E8ADF5F4B40;1;12406030280
217;Кафе;Pho Bo;;0101000020E6100000CA46318A2FFA4B40D4F36E2C285E4B40;1;12553320259
218;Кафе;Бен Эмир;;0101000020E6100000E3E13D0796FA4B40473A03232F5E4B40;1;12696766313
219;Кафе;Coffee Way;;0101000020E610000067ABDC5559FE4B40041BD7BFEB5F4B40;1;12723687695
220;Кафе;Смена Вкуса;;0101000020E6100000550F3DCED9FB4B4084CCDFCECF5E4B40;1;12736192866
221;Кафе;Кумпан;;0101000020E610000000338408DDFB4B40C6D5123CCF5E4B40;1;12737341840
222;Кафе;Choc;;0101000020E610000027C68DB685FE4B4078369A12FF5E4B40;1;13052154803
223;Кафе;Рамен;;0101000020E6100000D964E833FBFB4B4082F1C28CDF5D4B40;1;13070937780
224;Кафе;Unika;;0101000020E610000060A7FD7B95FB4B4078F17EDC7E5E4B40;1;13142972954
225;Кафе;Россиянка;;0101000020E610000098CDD20440034C405755D40561624B40;1;1131209228
226;Кафе;Эврен;;0101000020E610000041102043C7034C4087C9AF7A1B634B40;1;1842315449
227;Кафе;Мокко;;0101000020E610000026B506A51E034C40B201C754B05F4B40;1;2045779892
228;Кафе;Цыплята табака;Российская улица 43;0101000020E6100000693524EEB1044C404600DCD1A4634B40;1;2102616805
229;Кафе;Kumpan;;0101000020E61000007F6F2E5970024C405B7DD00E13624B40;1;3689020706
230;Кафе;Пышка;;0101000020E6100000B4C7B02F7E024C408AB37D2315624B40;1;3715120025
231;Кафе;Fish Bar Четверг;улица Менделеева 205А;0101000020E6100000C331265877034C40DAA61DA3E15E4B40;1;3835420090
232;Кафе;Антикафе FREEDOM;;0101000020E6100000214E716605044C4046A863DF5F634B40;1;4384360594
233;Кафе;Ufood.pro;;0101000020E6100000D1E231A8DB014C405A03A5B272604B40;1;4689462692
234;Кафе;Брусникин;;0101000020E61000000F04125ECC034C405C470B8629624B40;1;4715560210
235;Кафе;Летнее кафе;;0101000020E610000018E4D308A2024C400ECB55E2F0624B40;1;5947670585
236;Кафе;108 чайников;улица Менделеева 201/6;0101000020E6100000E0C5B1E4E0034C40B64F221D795E4B40;1;6200159694
237;Кафе;Coffee Like;;0101000020E61000000480194284004C40E0C1AAD5B2604B40;1;6536734329
238;Кафе;Фудзияма;;0101000020E610000051DA1B7C61014C4015DB49E93E614B40;1;10276412033
239;Кафе;Гастролеры;;0101000020E6100000171637C9EA024C40A7E26B7473624B40;1;10770926296
